player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Chiefs,DST,7.99,1.99,4.01,11.97,7.76,7.8
Eagles,DST,7.97,2.56,2.86,13.08,7.5,8.4
Bills,DST,7.93,1.82,4.29,11.56,7.68,8.35
Texans,DST,7.73,1.86,4.01,11.46,7.54,6.9
Ravens,DST,7.73,1.24,5.26,10.21,7.63,7.76
Seahawks,DST,7.72,1.62,4.48,10.97,7.55,7.65
Vikings,DST,7.58,2.29,2.99,12.16,7.19,7.1
Bengals,DST,7.38,1.64,4.09,10.66,7.21,6.85
Jaguars,DST,7.25,3.12,1.02,13.48,6.49,6.94
Chargers,DST,7.1,1.01,5.08,9.11,7.02,7.1
Cowboys,DST,7.0,1.76,3.48,10.52,6.81,6.25
Raiders,DST,7.0,2.52,1.95,12.05,6.43,7.3
Steelers,DST,6.73,1.85,3.03,10.43,6.49,5.6
Cardinals,DST,6.65,0.77,5.1,8.19,6.6,6.8
Lions,DST,6.64,1.37,3.9,9.38,6.51,5.7
Jets,DST,6.64,3.85,-1.07,14.34,5.69,4.09
Dolphins,DST,6.63,1.97,2.69,10.57,6.33,5.95
Titans,DST,6.39,0.85,4.69,8.09,6.33,6.3
Panthers,DST,6.39,1.08,4.23,8.55,6.29,6.5
Patriots,DST,6.38,1.29,3.8,8.96,6.22,6.9
Buccaneers,DST,6.35,0.94,4.48,8.23,6.29,5.8
Rams,DST,6.25,1.28,3.69,8.81,6.13,6.04
Browns,DST,6.1,1.73,2.64,9.56,5.83,6.8
Giants,DST,5.95,1.72,2.51,9.4,5.7,6.3
Bears,DST,5.76,0.52,4.72,6.81,5.74,5.9
Colts,DST,5.76,1.3,3.17,8.36,5.6,5.9
49ers,DST,5.34,1.46,2.42,8.25,5.09,5.3
Packers,DST,4.9,1.11,2.69,7.12,4.77,4.8
Tom Brady,QB,23.01,3.71,15.58,30.43,22.68,23.81
Aaron Rodgers,QB,22.14,3.11,15.92,28.35,21.95,21.0
Jameis Winston,QB,19.91,2.8,14.31,25.51,19.72,19.34
Russell Wilson,QB,19.5,1.66,16.19,22.81,19.43,18.93
Deshaun Watson,QB,18.52,2.12,14.27,22.77,18.4,18.04
Cam Newton,QB,17.9,0.55,16.8,19.01,17.89,17.95
Alex Smith,QB,17.44,1.63,14.17,20.7,17.36,17.18
Matthew Stafford,QB,17.4,1.29,14.81,19.99,17.35,17.57
Carson Palmer,QB,17.38,2.75,11.89,22.87,17.16,17.35
Philip Rivers,QB,17.22,1.97,13.27,21.16,17.11,16.96
Carson Wentz,QB,16.31,1.65,13.01,19.61,16.23,16.1
Dak Prescott,QB,16.17,7.38,1.42,30.93,19.34,19.55
Eli Manning,QB,15.82,1.71,12.4,19.25,15.72,16.43
Jacoby Brissett,QB,15.19,2.33,10.52,19.85,15.0,16.34
Blake Bortles,QB,14.9,1.6,11.7,18.1,14.81,14.6
Josh McCown,QB,14.31,1.34,11.63,17.0,14.25,15.05
Brian Hoyer,QB,13.97,1.13,11.72,16.23,13.93,13.44
Joe Flacco,QB,13.76,1.15,11.45,16.06,13.71,13.94
Jared Goff,QB,13.71,2.36,8.98,18.44,13.5,13.59
Ben Roethlisberger,QB,13.64,5.3,3.04,24.23,15.53,15.43
Jay Cutler,QB,13.21,1.2,10.81,15.61,13.16,13.1
Mitchell Trubisky,QB,12.83,1.61,9.62,16.05,12.73,13.27
Andy Dalton,QB,12.66,6.11,0.43,24.89,14.98,14.41
Case Keenum,QB,11.01,5.54,-0.07,22.09,5.1,13.14
Tyrod Taylor,QB,10.9,7.88,-4.85,26.66,16.23,14.75
Sam Bradford,QB,10.06,5.73,-1.39,21.51,7.21,11.17
DeShone Kizer,QB,9.37,5.41,-1.45,20.2,6.43,12.24
Matt Cassel,QB,8.64,5.39,-2.13,19.42,5.3,11.65
Kevin Hogan,QB,6.26,6.43,-6.6,19.11,2.64,4.8
E.J. Manuel,QB,5.95,5.27,-4.58,16.49,2.79,5.43
Matt Moore,QB,3.02,5.36,-7.71,13.75,0.58,0.18
Cody Kessler,QB,2.96,5.97,-8.98,14.9,4.96,0.0
Tom Savage,QB,2.82,5.16,-7.5,13.14,0.63,0.4
Landry Jones,QB,2.5,5.43,-8.37,13.36,0.35,0.09
Bryce Petty,QB,0.58,0.96,-1.34,2.51,0.38,0.17
Ryan Fitzpatrick,QB,0.47,0.62,-0.77,1.72,0.34,0.2
Mike Glennon,QB,0.46,0.68,-0.89,1.81,0.27,0.18
Nick Foles,QB,0.38,0.51,-0.64,1.39,0.26,0.2
Ryan Mallett,QB,0.31,0.42,-0.53,1.14,0.23,0.11
Scott Tolzien,QB,0.26,0.47,-0.69,1.2,0.12,0.03
Patrick Mahomes,QB,0.2,0.24,-0.28,0.67,0.08,0.11
Kyle Sloter,QB,0.16,0.27,-0.39,0.71,0.63,0.0
Geno Smith,QB,0.14,0.14,-0.13,0.41,0.11,0.12
Cardale Jones,QB,0.14,0.22,-0.31,0.59,0.04,0.01
Derek Anderson,QB,0.12,0.12,-0.13,0.37,0.13,0.1
Drew Stanton,QB,0.12,0.18,-0.24,0.47,0.33,0.0
Chad Henne,QB,0.1,0.21,-0.33,0.52,0.07,0.0
C.J. Beathard,QB,0.09,0.14,-0.2,0.38,0.03,0.02
Jake Rudock,QB,0.09,0.16,-0.23,0.41,0.04,0.0
Brett Hundley,QB,0.08,0.1,-0.12,0.28,0.06,0.04
Blaine Gabbert,QB,0.07,0.07,-0.07,0.21,0.11,0.05
Sean Mannion,QB,0.07,0.15,-0.23,0.37,0.06,0.0
Jimmy Garoppolo,QB,0.07,0.11,-0.16,0.29,0.09,0.01
Kellen Clemens,QB,0.03,0.07,-0.1,0.17,0.17,0.0
AJ McCarron,QB,0.01,0.02,-0.03,0.06,0.05,0.0
Austin Davis,QB,0.01,0.02,-0.02,0.04,0.03,0.0
Connor Cook,QB,0.0,0.01,-0.01,0.02,0.02,0.0
Cooper Rush,QB,0.0,0.0,-0.0,0.01,0.0,0.0
Mark Sanchez,QB,0.0,0.0,0.0,0.0,,0.0
Brandon Allen,QB,0.0,0.0,0.0,0.0,,0.0
Christian Hackenberg,QB,0.0,0.0,0.0,0.0,,0.0
Kellen Moore,QB,0.0,0.0,0.0,0.0,,0.0
Brandon Weeden,QB,0.0,0.0,0.0,0.0,,0.0
Davis Webb,QB,0.0,0.0,0.0,0.0,,0.0
Connor Shaw,QB,0.0,0.0,0.0,0.0,,0.0
Jeff Driskel,QB,0.0,0.0,0.0,0.0,,0.0
Taylor Heinicke,QB,0.0,0.0,0.0,0.0,,0.0
Joshua Dobbs,QB,0.0,0.0,0.0,0.0,,0.0
Nathan Peterman,QB,0.0,0.0,0.0,0.0,,0.0
Ryan Griffin,QB,0.0,0.0,0.0,0.0,,0.0
Ryan Nassib,QB,0.0,0.0,0.0,0.0,,0.0
Brad Kaaya,QB,-0.0,0.0,-0.01,0.01,,0.0
Kareem Hunt,RB,18.83,1.8,15.23,22.43,18.74,19.36
Ezekiel Elliott,RB,18.24,8.46,1.33,35.15,21.75,21.02
LeVeon Bell,RB,18.03,7.24,3.55,32.5,20.42,20.8
Todd Gurley,RB,18.0,2.09,13.83,22.17,17.88,18.26
Leonard Fournette,RB,17.01,2.24,12.53,21.48,16.87,16.0
Melvin Gordon,RB,15.88,1.88,12.13,19.64,15.78,14.82
Jordan Howard,RB,14.42,1.44,11.53,17.31,14.35,13.87
DeMarco Murray,RB,13.68,2.35,8.98,18.39,13.47,14.31
LeSean McCoy,RB,13.68,6.38,0.93,26.43,16.3,15.04
Christian McCaffrey,RB,13.06,2.84,7.39,18.74,12.74,13.14
Jay Ajayi,RB,12.97,1.18,10.62,15.32,12.92,12.54
Carlos Hyde,RB,12.94,5.46,2.01,23.86,14.56,14.65
Lamar Miller,RB,12.49,4.84,2.8,22.17,14.22,13.78
Frank Gore,RB,11.86,2.82,6.23,17.49,11.55,10.68
Duke Johnson,RB,11.84,2.82,6.19,17.48,11.52,11.46
Marshawn Lynch,RB,11.41,1.61,8.2,14.63,11.3,11.4
Bilal Powell,RB,10.91,5.13,0.64,21.18,11.96,12.49
Jerick McKinnon,RB,10.75,2.94,4.87,16.62,10.32,11.06
James White,RB,10.66,2.11,6.44,14.89,10.45,10.96
Mike Gillislee,RB,10.57,0.62,9.33,11.8,10.55,10.65
Ameer Abdullah,RB,10.43,4.15,2.13,18.74,11.84,12.16
Tarik Cohen,RB,10.21,2.42,5.38,15.05,9.89,10.22
Aaron Jones,RB,9.88,1.04,7.81,11.95,9.82,10.14
LeGarrette Blount,RB,9.66,1.45,6.77,12.56,9.55,10.18
Isaiah Crowell,RB,9.66,1.75,6.15,13.16,9.49,9.39
Javorius Allen,RB,9.64,3.84,1.96,17.31,7.14,10.27
Joe Mixon,RB,9.61,5.03,-0.44,19.66,11.9,11.62
Doug Martin,RB,9.13,4.14,0.85,17.4,10.04,10.59
Latavius Murray,RB,9.11,2.98,3.14,15.08,8.57,10.16
Andre Ellington,RB,8.94,3.0,2.93,14.95,8.23,9.4
Elijah McGuire,RB,8.73,0.89,6.95,10.5,8.68,8.5
Wayne Gallman,RB,7.98,1.43,5.13,10.83,7.85,7.57
Theo Riddick,RB,7.81,3.6,0.62,15.0,8.6,10.09
Alex Collins,RB,7.21,2.29,2.63,11.79,6.82,6.64
Jonathan Stewart,RB,7.21,3.24,0.74,13.68,8.03,7.42
Derrick Henry,RB,7.07,1.33,4.41,9.73,6.93,7.07
Thomas Rawls,RB,6.99,5.84,-4.7,18.68,7.15,5.91
Chris Ivory,RB,6.82,3.06,0.7,12.94,6.27,6.0
Corey Clement,RB,6.51,1.77,2.98,10.04,6.21,7.0
Matt Breida,RB,6.1,1.09,3.92,8.28,6.0,5.9
DOnta Foreman,RB,6.08,1.0,4.08,8.09,6.0,6.08
Marlon Mack,RB,6.0,1.33,3.34,8.65,5.84,6.24
Jacquizz Rodgers,RB,5.89,3.61,-1.34,13.12,5.06,4.4
Giovani Bernard,RB,5.71,4.04,-2.38,13.79,8.56,8.34
Eddie Lacy,RB,5.56,3.33,-1.11,12.23,6.65,5.67
Terrance West,RB,5.48,3.36,-1.24,12.2,5.94,4.75
Dion Lewis,RB,5.4,1.75,1.9,8.9,5.11,4.99
Jalen Richard,RB,5.38,1.26,2.86,7.9,5.22,5.48
Shane Vereen,RB,5.35,2.98,-0.61,11.3,5.73,4.79
Chris Johnson,RB,4.94,3.56,-2.19,12.07,7.35,6.52
Robert Turbin,RB,4.82,1.28,2.26,7.38,4.64,4.7
Charcandrick West,RB,4.65,1.41,1.84,7.47,4.48,4.4
Austin Ekeler,RB,4.65,1.4,1.85,7.45,4.47,4.0
Orleans Darkwa,RB,4.56,2.93,-1.3,10.41,4.47,4.62
Jamaal Williams,RB,4.31,2.51,-0.72,9.34,3.56,4.5
Charles Sims,RB,4.25,2.65,-1.04,9.55,4.39,3.84
Mike Tolbert,RB,3.98,2.13,-0.27,8.24,4.91,4.55
Alfred Blue,RB,3.92,4.87,-5.82,13.65,2.46,2.26
Damien Williams,RB,3.53,0.88,1.78,5.28,3.42,3.3
DeAndre Washington,RB,3.53,2.3,-1.07,8.12,2.54,4.09
Zach Zenner,RB,3.17,3.31,-3.44,9.78,1.9,1.76
Benny Cunningham,RB,3.12,0.67,1.78,4.46,3.04,3.07
Kyle Juszczyk,RB,2.85,1.68,-0.51,6.21,3.2,3.06
Kenjon Barner,RB,2.72,1.72,-0.73,6.17,2.83,2.17
Cameron Artis-Payne,RB,2.7,3.25,-3.8,9.2,2.19,1.74
Kenyan Drake,RB,2.59,1.04,0.51,4.66,2.3,2.84
Jeremy Hill,RB,2.54,2.31,-2.08,7.16,3.17,2.28
Matt Forte,RB,2.47,2.89,-3.31,8.25,4.46,1.41
Corey Grant,RB,2.46,1.01,0.45,4.47,2.27,2.21
Fozzy Whittaker,RB,2.45,1.12,0.21,4.7,2.15,2.44
James Conner,RB,2.34,1.23,-0.13,4.81,2.06,2.18
Kerwynn Williams,RB,2.25,0.94,0.36,4.14,2.53,2.66
Malcolm Brown,RB,2.25,0.94,0.37,4.13,2.01,2.74
Alfred Morris,RB,2.0,1.19,-0.38,4.38,2.21,2.26
T.J. Yeldon,RB,1.35,2.03,-2.7,5.4,2.01,0.56
Peyton Barber,RB,1.27,1.68,-2.09,4.63,0.77,0.55
Cedric Peerman,RB,1.25,2.17,-3.09,5.59,5.01,0.0
Jamize Olawale,RB,1.21,1.0,-0.78,3.21,1.22,1.15
Matthew Dayes,RB,1.18,1.02,-0.87,3.23,0.84,0.68
Travaris Cadet,RB,0.88,1.06,-1.24,2.99,1.17,0.6
Akeem Hunt,RB,0.79,0.38,0.03,1.56,0.7,0.87
Aaron Ripkowski,RB,0.79,0.7,-0.61,2.2,0.74,0.77
Raheem Mostert,RB,0.64,0.66,-0.69,1.97,0.48,0.48
Tommy Bohanon,RB,0.57,0.59,-0.61,1.76,1.13,0.48
Justin Davis,RB,0.53,0.57,-0.62,1.68,0.5,0.33
Devante Mays,RB,0.39,0.27,-0.14,0.93,0.42,0.42
Patrick DiMarco,RB,0.38,0.5,-0.61,1.37,0.61,0.16
Matt Jones,RB,0.36,0.36,-0.36,1.09,0.72,0.36
Elijhaa Penny,RB,0.34,0.57,-0.79,1.48,0.25,0.01
D.J. Foster,RB,0.34,0.4,-0.46,1.13,0.6,0.19
Terrell Watson,RB,0.33,0.44,-0.55,1.2,0.34,0.18
Jalston Fowler,RB,0.3,0.32,-0.34,0.95,0.24,0.24
James Develin,RB,0.3,0.21,-0.13,0.72,0.2,0.38
C.J. Ham,RB,0.24,0.35,-0.47,0.95,0.51,0.0
Anthony Sherman,RB,0.23,0.16,-0.08,0.54,0.21,0.31
Darren McFadden,RB,0.22,0.36,-0.51,0.95,0.16,0.02
Derek Watt,RB,0.21,0.14,-0.06,0.49,0.25,0.31
David Fluellen,RB,0.18,0.16,-0.15,0.51,0.22,0.18
Jay Prosch,RB,0.17,0.15,-0.12,0.46,0.17,0.12
Roosevelt Nix,RB,0.17,0.13,-0.08,0.42,0.19,0.14
C.J. Spiller,RB,0.15,0.22,-0.28,0.59,0.46,0.0
Rod Smith,RB,0.11,0.21,-0.32,0.53,0.53,0.0
Senorise Perry,RB,0.08,0.14,-0.2,0.37,0.33,0.0
Taiwan Jones,RB,0.07,0.1,-0.13,0.28,0.22,0.0
Keith Smith,RB,0.04,0.06,-0.07,0.15,0.12,0.0
Taquan Mizzell,RB,0.0,0.0,-0.01,0.01,0.01,0.0
Tyler Gaffney,RB,0.0,0.0,0.0,0.0,,0.0
Bishop Sankey,RB,0.0,0.0,0.0,0.0,,0.0
Joe Kerridge,RB,0.0,0.0,0.0,0.0,,0.0
Tre Madden,RB,0.0,0.0,0.0,0.0,,0.0
